transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,INDIRIMLI2,Indirimli Tip 2 Kontur,AVCILAR,34,CIHANGIR UNIVERSITE MAH.
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,200,200,INDIRIMLI1,Indirimli Abonman,SISLI,34,CAGLAYAN
2024-10-04,09,1,OTOYOL,AVCILAR-SOGUTLUCESME,Normal,1,1,UCRETSIZ,Ucretsiz,EYUPSULTAN,34G,
2024-10-04,09,1,OTOYOL,TUYAP METROBUS - K.S.S. HASTANESI,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,142T,
2024-10-04,09,1,OTOYOL,S.BEYLI-M.SINAN M-UZUNCAYIR METROBUS,Normal,6,6,UCRETSIZ,Ucretsiz,BEYKOZ,18M,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,INDIRIMLI2,Indirimli Tip 2 Abonman,BEYOGLU,34,HALICIOGLU
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,INDIRIMLI2,Indirimli Tip 2 Abonman,ESENYURT,34,HARAMIDERE SANAYI SITESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,11,11,UCRETSIZ,Ucretsiz,SISLI,34,CAGLAYAN
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,5,5,INDIRIMLI2,Tam Kontur,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,5,5,UCRETSIZ,Tam Kontur,BEYLIKDUZU,34,CUMHURIYET MAHALLESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,34,SEFAKOY
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,115,115,INDIRIMLI1,Indirimli Kontur,BEYLIKDUZU,34,CUMHURIYET MAHALLESI
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,5,5,TAM,Tam Kontur,USKUDAR,34A,ALTUNIZADE 2
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,Tam Kontur,BEYLIKDUZU,34,HARAMIDERE
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,106,106,UCRETSIZ,Ucretsiz,BAHCELIEVLER,34,BAHCELIEVLER
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,3,3,TAM,Tam Kontur,USKUDAR,34A,ALTUNIZADE 2
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,2,2,TAM,Tam Kontur,USKUDAR,34A,ALTUNIZADE 1
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,26,26,UCRETSIZ,Ucretsiz,KAGITHANE,34,OKMEYDANI
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,UCRETSIZ,Ucretsiz,KADIKOY,34A,SOGUTLUCESME 1
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,INDIRIMLI2,Indirimli Tip 2 Kontur,KUCUKCEKMECE,34,SEFAKOY
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,34,CENNET MAHALLESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,20,20,TAM,Tam Kontur,KUCUKCEKMECE,34,CENNET MAHALLESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,20,20,TAM,Tam Kontur,ESENYURT,34,HARAMIDERE SANAYI SITESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI2,Tam Kontur,AVCILAR,34,CIHANGIR UNIVERSITE MAH.
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,25,25,INDIRIMLI2,Indirimli Tip 2 Kontur,USKUDAR,34A,ALTUNIZADE 2
2024-10-04,09,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,142,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAHCELIEVLER,34,YENIBOSNA
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,TAM,Tam Kontur,ESENYURT,34,HARAMIDERE SANAYI SITESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,590,539,TAM,Tam Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,ZEYTINBURNU,34,CEVIZLIBAG
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,26,26,INDIRIMLI2,Indirimli Tip 2 Kontur,ESENYURT,34,BEYLIKDUZU
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,10,10,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,34,BESYOL
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,UCRETSIZ,Tam Kontur,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BEYLIKDUZU,34,HARAMIDERE
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,267,267,INDIRIMLI1,Indirimli Abonman,SISLI,34,ZINCIRLIKUYU 1
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,16,16,UCRETSIZ,Ucretsiz,KAGITHANE,34,DARULACEZE PERPA
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,1,INDIRIMLI2,Tam Kontur,ZEYTINBURNU,34,CEVIZLIBAG
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,20,20,INDIRIMLI2,Indirimli Tip 2 Kontur,AVCILAR,34,CIHANGIR UNIVERSITE MAH.
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,9,9,INDIRIMLI2,Indirimli Tip 2 Kontur,KAGITHANE,34,OKMEYDANI HASTANE
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,Tam Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,34,INCIRLI
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,2,2,UCRETSIZ,Ucretsiz,USKUDAR,34A,BURHANIYE
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Tam Kontur,SISLI,34,MECIDIYEKOY
2024-10-04,09,1,OTOYOL,CATALCA-AVCILAR METROBUS,Normal,17,17,INDIRIMLI1,Tam Kontur,BAKIRKOY,401,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,Tam Kontur,BESIKTAS,34,ZINCIRLIKUYU 2
2024-10-04,09,1,OTOYOL,ALIBEYKOY METRO - ZINCIRLIKUYU METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,50Z,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,35,35,TAM,Tam Kontur,AVCILAR,34,SUKRUBEY
2024-10-04,09,1,OTOYOL,YESILKENT- AVCILAR METROBUS,Normal,56,56,INDIRIMLI1,Indirimli Abonman,PENDIK,142F,
